id,group_id,lv,insert_type_1,hp_value1,hp_value2,mp_value1,mp_value2,insert_type_2,strength,vitality,agility,intelligence,spirit,magic,luck,insert_type_3,accuracy_rate,magic_evasion_rate,magical_times1,magical_times2,magical_times3,magical_times4,magical_times5,magical_times6,magical_times7,magical_times8
99,2,2,3,1,0,0,0,1,6,1,6,-3,-2,0,0,1,0,0,0,0,0,0,0,0,0,0
100,2,3,3,1,0,0,0,1,7,1,7,-2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
101,2,4,3,1,0,0,0,1,8,2,8,-2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
102,2,5,3,1,0,0,0,1,8,2,8,-2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
103,2,6,3,1,0,0,0,1,9,3,9,-2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0
104,2,7,3,1,0,0,0,1,10,3,10,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,2,8,3,1,0,0,0,1,10,4,10,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
106,2,9,3,1,0,0,0,1,11,4,11,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
107,2,10,3,1,0,0,0,1,12,5,12,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,2,11,3,1,0,0,0,1,12,5,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
109,2,12,3,1,0,0,0,1,13,5,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
110,2,13,3,1,0,0,0,1,14,6,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
111,2,14,3,1,0,0,0,1,14,6,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
112,2,15,3,1,0,0,0,1,15,7,15,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
113,2,16,3,1,0,0,0,1,16,7,16,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
114,2,17,3,1,0,0,0,1,16,8,16,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
115,2,18,3,1,0,0,0,1,17,8,17,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
116,2,19,3,1,0,0,0,1,17,9,17,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0
117,2,20,3,1,0,0,0,1,18,9,18,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0
118,2,21,3,1,0,0,0,1,19,10,19,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
119,2,22,3,1,0,0,0,1,19,10,19,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
120,2,23,3,1,0,0,0,1,20,10,20,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0
121,2,24,3,1,0,0,0,1,21,11,21,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0
122,2,25,3,1,0,0,0,1,21,11,21,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0
123,2,26,3,1,0,0,0,1,22,12,22,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0
124,2,27,3,1,0,0,0,1,23,12,23,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0
125,2,28,3,1,0,0,0,1,23,13,23,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
126,2,29,3,1,0,0,0,1,24,13,24,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
127,2,30,3,1,0,0,0,1,25,14,25,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0
128,2,31,3,1,0,0,0,1,25,14,25,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0
129,2,32,3,1,0,0,0,1,26,15,26,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0
130,2,33,3,1,0,0,0,1,27,15,27,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0
131,2,34,3,1,0,0,0,1,27,15,27,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0
132,2,35,3,1,0,0,0,1,28,16,28,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0
133,2,36,3,1,0,0,0,1,29,16,29,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0
134,2,37,3,1,0,0,0,1,29,17,29,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0
135,2,38,3,1,0,0,0,1,30,17,30,6,6,0,0,1,0,0,0,0,0,0,0,0,0,0
136,2,39,3,1,0,0,0,1,31,18,31,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0
137,2,40,3,1,0,0,0,1,31,18,31,6,7,0,0,1,0,0,0,0,0,0,0,0,0,0
138,2,41,3,1,0,0,0,1,32,19,32,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0
139,2,42,3,1,0,0,0,1,33,19,33,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0
140,2,43,3,1,0,0,0,1,33,20,33,7,8,0,0,1,0,0,0,0,0,0,0,0,0,0
141,2,44,3,1,0,0,0,1,34,20,34,7,8,0,0,1,0,0,0,0,0,0,0,0,0,0
142,2,45,3,1,0,0,0,1,35,20,35,7,8,0,0,1,0,0,0,0,0,0,0,0,0,0
143,2,46,3,1,0,0,0,1,35,21,35,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0
144,2,47,3,1,0,0,0,1,36,21,36,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0
145,2,48,3,1,0,0,0,1,37,22,37,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0
146,2,49,3,1,0,0,0,1,37,22,37,8,9,0,0,1,0,0,0,0,0,0,0,0,0,0
147,2,50,3,1,0,0,0,1,38,23,38,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0
